student_id,week,login_count,content_views,avg_session_duration_minutes
S2000,1,7,27,30.054644424859298
S2000,2,11,47,24.62806969063612
S2000,3,9,38,30.381193244826747
S2000,4,13,50,24.626164392538268
S2000,5,11,50,28.622852300667997
S2000,6,11,50,31.275402071851385
S2000,7,6,28,24.41388716553886
S2000,8,11,50,27.31767998315648
S2000,9,12,47,30.177591723220175
S2000,10,4,18,38.8955453641912
S2000,11,9,39,33.21126972855159
S2000,12,3,12,31.700446809110666
S2000,13,8,45,39.515030748496144
S2000,14,14,50,26.968085025416745
S2000,15,15,50,43.38036556184992
S2000,16,7,42,35.68267582662972
S2001,1,12,50,59.914786492370304
S2001,2,18,50,37.11635296641488
S2001,3,10,46,53.878103377350286
S2001,4,12,50,41.51531770277935
S2001,5,14,50,35.00068406246395
S2001,6,15,50,47.49080138684346
S2001,7,18,50,42.049420264859194
S2001,8,15,50,42.48482674144436
S2001,9,7,32,35.53022508592741
S2001,10,7,48,43.55225755482069
S2001,11,13,50,43.27724422947711
S2001,12,14,50,44.561398078168416
S2001,13,12,50,46.34694205147889
S2001,14,14,50,34.07046310242121
S2001,15,15,50,36.97117615262035
S2001,16,11,46,54.91667559518891
S2002,1,14,50,58.402362804014885
S2002,2,11,50,37.09059962043921
S2002,3,11,50,50.885696568493785
S2002,4,14,50,43.20818628719562
S2002,5,10,50,39.3877830518448
S2002,6,11,43,37.495531835447714
S2002,7,13,50,44.25070401712186
S2002,8,12,50,58.27720338226779
S2002,9,21,67,49.5432920024707
S2002,10,10,25,22.535325248062843
S2002,11,22,94,52.50422338092591
S2002,12,6,28,31.046133526627433
S2002,13,12,50,26.79639985044839
S2002,14,11,45,38.78605940980383
S2002,15,15,50,46.584053382502354
S2002,16,13,56,40.930758550535586
S2003,1,11,50,52.65240468693885
S2003,2,5,22,38.9274087022175
S2003,3,9,38,43.73487790402604
S2003,4,3,15,41.73186618595146
S2003,5,8,45,42.63836210370625
S2003,6,8,44,29.484291281512604
S2003,7,8,42,54.40095263305193
S2003,8,6,30,48.794026731262726
S2003,9,5,22,43.10029373186329
S2003,10,5,20,45.99548296963248
S2003,11,10,49,32.97830655388792
S2003,12,8,28,42.99511319381232
S2003,13,7,36,44.89682871182519
S2003,14,11,50,37.698493361993734
S2003,15,11,43,47.6356991049658
S2003,16,9,34,34.07703969629038
S2004,1,7,36,51.18967037985007
S2004,2,9,40,30.86269926175455
S2004,3,7,35,45.56053473984737
S2004,4,8,42,31.462203766486827
S2004,5,6,27,48.563270929346395
S2004,6,11,43,49.085167746719655
S2004,7,11,50,49.08164421779404
S2004,8,10,49,39.24144517217057
S2004,9,7,25,31.512678627128714
S2004,10,5,21,45.366314243404425
S2004,11,4,20,42.258239739339025
S2004,12,8,36,28.528505840981197
S2004,13,10,39,34.57757871148491
S2004,14,14,50,54.47032934278293
S2004,15,8,37,51.621272209262656
S2004,16,12,50,45.14134084774722
S2005,1,14,50,45.34085453316512
S2005,2,9,33,23.062099494885324
S2005,3,8,32,47.56417023270274
S2005,4,9,49,43.93418600527768
S2005,5,4,14,44.96952296095904
S2005,6,9,50,31.79830782534131
S2005,7,6,33,44.43019358342408
S2005,8,5,27,29.4906765785285
S2005,9,6,24,30.58680502813373
S2005,10,12,49,38.38773683467713
S2005,11,3,14,41.618912501051454
S2005,12,13,50,63.082446731235436
S2005,13,14,50,52.973499819474014
S2005,14,8,30,36.229798482724185
S2005,15,10,45,32.594135997935126
S2005,16,9,46,51.21645452602243
S2006,1,10,37,45.317130085628
S2006,2,18,50,39.09556917093492
S2006,3,18,50,52.610318602394216
S2006,4,10,50,39.90849413266985
S2006,5,8,41,49.98569192731735
S2006,6,11,50,45.70674744492472
S2006,7,10,44,36.65314710060401
S2006,8,16,50,39.77263969537539
S2006,9,20,50,49.46648641950082
S2006,10,13,50,44.60790918355648
S2006,11,6,32,41.03534556678311
S2006,12,16,50,42.61389918008837
S2006,13,19,50,59.073479589260664
S2006,14,13,50,36.326027421707415
S2006,15,11,50,45.81389980233566
S2006,16,8,39,28.7572091174425
S2007,1,6,26,28.720950643708598
S2007,2,7,22,27.799007586277114
S2007,3,3,11,30.509740643327284
S2007,4,6,20,27.295426191768744
S2007,5,7,38,49.338093291853
S2007,6,7,27,24.78902794785079
S2007,7,4,11,37.829282580801255
S2007,8,11,42,39.83015409359841
S2007,9,6,15,31.13690345142779
S2007,10,3,10,40.605732207877594
S2007,11,7,22,38.140788193658935
S2007,12,7,26,31.47648546570607
S2007,13,3,10,37.06298595070362
S2007,14,6,24,30.69036825966082
S2007,15,5,18,28.397724989669648
S2007,16,5,15,33.56608065282625
S2008,1,4,19,55.08710206372965
S2008,2,7,32,35.04318299026592
S2008,3,10,50,45.05630539923531
S2008,4,6,28,31.311354044359433
S2008,5,9,37,47.293460814370114
S2008,6,4,16,52.44142594444075
S2008,7,6,21,45.65783413231646
S2008,8,10,47,49.37724901554416
S2008,9,12,50,46.31603102490573
S2008,10,6,26,45.34983794070491
S2008,11,4,22,32.097619058691194
S2008,12,13,49,41.13998974602201
S2008,13,6,30,36.521986162322705
S2008,14,7,35,41.139381239626765
S2008,15,5,22,43.11500996307608
S2008,16,9,43,47.00018205680756
S2009,1,13,50,34.01095601701729
S2009,2,11,50,41.794327979141094
S2009,3,9,44,32.80916469103979
S2009,4,17,50,35.16747380279596
S2009,5,7,40,38.6395742806968
S2009,6,6,30,42.43206920608052
S2009,7,5,24,40.63583982114771
S2009,8,9,50,33.65714713868366
S2009,9,14,50,48.82803093856674
S2009,10,9,39,31.525970081904443
S2009,11,8,46,44.98366969573716
S2009,12,5,21,38.286725319008575
S2009,13,7,29,36.77898863806168
S2009,14,15,50,49.05044413938853
S2009,15,6,26,33.96135434054596
S2009,16,17,50,39.05402208415142
S2010,1,14,50,43.51565061980982
S2010,2,14,50,30.185867697571474
S2010,3,5,18,34.76893298112853
S2010,4,9,50,50.044148245078766
S2010,5,9,50,34.24897442311547
S2010,6,20,50,58.28302603329746
S2010,7,16,50,36.05613630413013
S2010,8,16,50,42.631582140210504
S2010,9,9,41,29.531751525992565
S2010,10,19,50,56.582203549207726
S2010,11,9,37,33.07772298114915
S2010,12,11,48,34.838559218038846
S2010,13,11,41,40.03599326868649
S2010,14,6,22,30.603516978253143
S2010,15,20,50,50.5066705245892
S2010,16,8,42,45.6983331940596
S2011,1,15,50,35.01842031557191
S2011,2,5,28,39.875997424584625
S2011,3,12,50,49.86090380467212
S2011,4,13,50,42.470085897463036
S2011,5,11,46,39.46611064701273
S2011,6,10,50,59.36737073131224
S2011,7,10,44,51.22251753757957
S2011,8,5,29,48.37846698901078
S2011,9,13,50,57.17968363723454
S2011,10,13,50,50.310746226826204
S2011,11,20,50,46.88895172229873
S2011,12,11,50,35.69897534982012
S2011,13,7,29,49.866938405251375
S2011,14,7,33,53.0037867929235
S2011,15,7,36,51.580612718232764
S2011,16,5,29,32.11836137148035
S2012,1,6,27,42.56589339642159
S2012,2,12,50,51.452076371731614
S2012,3,10,37,28.765863959932513
S2012,4,12,50,42.47430917766104
S2012,5,9,32,33.2295201618045
S2012,6,8,27,37.31397993580384
S2012,7,8,25,21.64161252006764
S2012,8,7,22,31.23604686852891
S2012,9,7,19,22.59376685156351
S2012,10,6,21,21.865154458239978
S2012,11,8,25,27.43760582812832
S2012,12,7,22,26.47389895972652
S2012,13,12,53,35.46823000352834
S2012,14,11,41,23.723579113619348
S2012,15,3,11,41.82590830728825
S2012,16,10,31,33.666535624378746
S2013,1,9,48,30.68938570711202
S2013,2,14,50,49.5257029544934
S2013,3,8,34,42.47652435287018
S2013,4,4,13,40.70877620822966
S2013,5,10,38,37.54765147708962
S2013,6,7,18,26.41579710037127
S2013,7,8,29,38.50620020919544
S2013,8,11,38,46.52922144352525
S2013,9,8,19,21.88580520455148
S2013,10,11,46,33.73144012635622
S2013,11,16,55,43.42257457675135
S2013,12,5,14,23.688424932360046
S2013,13,6,27,25.308185672082335
S2013,14,22,71,30.916125515814358
S2013,15,12,47,29.265773868830124
S2013,16,7,37,30.089605425117504
S2014,1,8,43,61.64277992171765
S2014,2,10,50,46.9470659226335
S2014,3,12,50,36.664791486313256
S2014,4,4,15,23.661576604392163
S2014,5,7,23,27.92924248640961
S2014,6,3,7,36.68147464599552
S2014,7,7,31,42.98543577189098
S2014,8,8,28,30.642229814962484
S2014,9,6,23,35.51806242446487
S2014,10,15,48,38.14088794174933
S2014,11,8,25,21.7791211414039
S2014,12,5,17,26.496358132643014
S2014,13,3,8,33.73128418256892
S2014,14,15,50,40.48235595739413
S2014,15,9,40,56.65614749990088
S2014,16,3,6,23.963799456487234
S2015,1,10,32,37.35384356959502
S2015,2,17,50,54.58284665282651
S2015,3,7,40,32.867988246152215
S2015,4,18,50,50.10045574372967
S2015,5,10,42,54.39556554249008
S2015,6,12,50,39.85044555724185
S2015,7,13,50,53.7132406140925
S2015,8,9,37,46.00619117323208
S2015,9,8,50,50.59252473372758
S2015,10,11,50,37.197745975267225
S2015,11,8,42,30.55600397846726
S2015,12,16,50,35.3295595555315
S2015,13,8,34,31.414222140663583
S2015,14,7,33,45.12018908164057
S2015,15,14,50,48.04570850170362
S2015,16,9,31,42.271379261437836
S2016,1,7,36,47.909309192477224
S2016,2,6,26,41.53271190977597
S2016,3,7,39,51.763646577506336
S2016,4,6,32,53.13147932400596
S2016,5,6,35,39.23034701593516
S2016,6,4,22,42.89714936009778
S2016,7,6,29,44.373405044284205
S2016,8,5,22,36.123609374329476
S2016,9,5,24,38.05615095542308
S2016,10,3,11,48.80810143144103
S2016,11,6,31,36.10832734638536
S2016,12,6,24,40.282474312167004
S2016,13,8,37,36.373382778008576
S2016,14,6,27,42.28336556674777
S2016,15,10,50,45.98298138540879
S2016,16,6,29,46.81805963464157
S2017,1,16,50,43.39929853183524
S2017,2,8,39,49.9783177684073
S2017,3,10,43,25.89612886379359
S2017,4,8,35,43.020235770882614
S2017,5,15,50,51.556979636521994
S2017,6,15,50,51.14711480285518
S2017,7,5,26,33.64862524894632
S2017,8,12,48,43.60314956205637
S2017,9,6,32,47.877297010876056
S2017,10,15,50,53.88339245726491
S2017,11,20,50,46.096186183849
S2017,12,10,49,48.7295075915988
S2017,13,10,50,43.529766829699206
S2017,14,6,33,64.31774073450042
S2017,15,9,48,50.13454257565637
S2017,16,16,50,38.34631657451358
S2018,1,5,21,33.33858128866969
S2018,2,4,18,42.70155204828684
S2018,3,9,36,48.96333987150151
S2018,4,12,50,50.08691574152401
S2018,5,6,33,53.70736108013119
S2018,6,8,50,36.48559156489971
S2018,7,9,49,32.96195598325732
S2018,8,11,50,41.27731715892723
S2018,9,7,44,47.632381943114325
S2018,10,13,50,41.28418259701392
S2018,11,8,46,43.1393906135667
S2018,12,3,15,38.818910857081576
S2018,13,8,44,61.30957063167041
S2018,14,8,40,44.07707461957678
S2018,15,5,22,43.452972012696314
S2018,16,8,45,55.405784263433624
S2019,1,4,18,24.306903958461287
S2019,2,5,20,41.759186380807655
S2019,3,4,19,49.555493500839816
S2019,4,6,19,40.021947542245044
S2019,5,8,38,30.536706854678755
S2019,6,8,28,29.145379971655093
S2019,7,2,8,39.132816668473815
S2019,8,9,26,23.86390478364575
S2019,9,3,12,34.04553722368336
S2019,10,3,11,27.645910434254983
S2019,11,2,5,36.76889315615369
S2019,12,9,40,28.59667549307742
S2019,13,4,18,29.873878844006544
S2019,14,3,15,34.68482167687967
S2019,15,6,19,32.393495883092825
S2019,16,7,29,42.99986047797642
S2020,1,6,22,32.25961484434898
S2020,2,1,4,27.01528391961053
S2020,3,2,6,31.30837077047821
S2020,4,4,13,24.89576995775288
S2020,5,0,0,31.098127911573073
S2020,6,5,18,31.17263250313878
S2020,7,7,29,30.11630167192658
S2020,8,5,15,21.47561799764103
S2020,9,7,28,35.91363894759605
S2020,10,3,8,19.330063761064544
S2020,11,2,4,17.454400436957993
S2020,12,0,0,16.813600940172496
S2020,13,5,13,16.104018434681365
S2020,14,7,29,26.752892237289807
S2020,15,6,18,21.14878569761769
S2020,16,5,18,18.45354704022124
S2021,1,14,50,49.828261028922654
S2021,2,13,50,49.683540105929445
S2021,3,13,50,41.09261473022166
S2021,4,9,47,42.73556711383243
S2021,5,16,50,51.93405138349721
S2021,6,11,50,50.404803834771634
S2021,7,13,50,38.93028366432665
S2021,8,7,42,49.79479962184143
S2021,9,15,50,58.14532852919938
S2021,10,12,50,44.23297777700266
S2021,11,11,50,33.54070533589431
S2021,12,13,50,44.21543803928024
S2021,13,14,50,40.48881903053792
S2021,14,18,50,36.19878044543808
S2021,15,12,50,54.880924272333324
S2021,16,8,50,55.75397856894255
S2022,1,8,34,25.555779791286902
S2022,2,5,20,32.7194676480618
S2022,3,11,50,45.03585781270458
S2022,4,4,23,30.177271055178768
S2022,5,9,50,37.846280433439446
S2022,6,3,13,26.690313937532828
S2022,7,7,35,37.86092359299603
S2022,8,13,50,29.183003835759898
S2022,9,4,18,34.561011848790116
S2022,10,6,25,41.3590563025493
S2022,11,9,49,31.298664425103716
S2022,12,9,50,31.88473845246242
S2022,13,5,21,25.99391403183416
S2022,14,11,50,32.86643959231122
S2022,15,8,38,40.134378489757665
S2022,16,9,36,37.250950748068945
S2023,1,8,39,59.60374098833328
S2023,2,5,25,50.72641172268934
S2023,3,12,50,44.62545034598491
S2023,4,9,36,28.859823752632746
S2023,5,8,50,35.666176876396385
S2023,6,11,45,38.25314942072435
S2023,7,12,50,35.29446999435565
S2023,8,9,49,35.75370830369693
S2023,9,9,50,40.811820840926394
S2023,10,6,42,56.46339928525913
S2023,11,8,41,28.470695967269698
S2023,12,12,50,31.525136499440315
S2023,13,4,28,53.81410120615773
S2023,14,8,38,43.72302227455919
S2023,15,11,50,48.89922979713662
S2023,16,13,50,49.094225341619584
S2024,1,10,42,47.30487296193901
S2024,2,10,36,44.60013843760948
S2024,3,8,38,43.951493712014226
S2024,4,6,30,32.58291761926864
S2024,5,7,28,42.01184052046909
S2024,6,14,50,38.71544781373729
S2024,7,12,50,45.929924935664346
S2024,8,10,50,41.51964443986922
S2024,9,8,31,43.885818636055276
S2024,10,13,50,43.38892663337645
S2024,11,4,14,43.42760334371533
S2024,12,17,50,60.89038691255272
S2024,13,10,35,40.0656699732132
S2024,14,10,50,31.775289199010746
S2024,15,7,29,37.097005307103444
S2024,16,6,20,25.536055294609945
S2025,1,7,36,34.46453281382437
S2025,2,14,46,31.762771663754705
S2025,3,2,5,20.032051503968315
S2025,4,5,21,25.15217752522045
S2025,5,6,25,20.50143120223726
S2025,6,8,28,19.746843989263365
S2025,7,14,49,27.007931179698204
S2025,8,2,6,20.811657476278672
S2025,9,8,29,27.749158219943688
S2025,10,6,19,25.41445465000664
S2025,11,6,19,21.61620844985399
S2025,12,4,11,21.307926129260157
S2025,13,9,35,28.325902042384758
S2025,14,12,43,23.706348230132075
S2025,15,5,14,24.131525873136493
S2025,16,4,10,19.46260110753016
S2026,1,10,50,37.3979021669184
S2026,2,8,35,33.22087768194664
S2026,3,7,26,33.09467832435354
S2026,4,10,50,43.720879917944394
S2026,5,17,50,37.862342591400505
S2026,6,3,15,30.61858018562598
S2026,7,8,36,45.92970337657494
S2026,8,7,35,47.68003213738618
S2026,9,10,48,45.72450188464845
S2026,10,5,24,54.874597489668936
S2026,11,7,27,30.483546735463097
S2026,12,5,19,28.155614521484985
S2026,13,10,50,42.76085442122515
S2026,14,6,31,35.95654996906119
S2026,15,7,26,26.6915904366657
S2026,16,5,18,32.17275487724223
S2027,1,10,43,45.155199070178355
S2027,2,13,50,55.72612208360159
S2027,3,13,50,46.91519189565303
S2027,4,10,50,50.69318551168346
S2027,5,8,41,44.504557664908795
S2027,6,15,50,51.6195711366634
S2027,7,20,50,37.06401696098079
S2027,8,10,44,36.31697260079535
S2027,9,20,50,60.96303647837712
S2027,10,9,50,40.98109728067454
S2027,11,14,50,46.990602117357255
S2027,12,17,50,51.5350832977327
S2027,13,8,50,61.87327641444643
S2027,14,7,33,46.87168633364021
S2027,15,8,39,46.588042404603556
