student_id,week,attendance_percentage
S2000,1,76.5653233001716
S2000,2,73.07768975963862
S2000,3,75.64109386996107
S2000,4,75.85143320568199
S2000,5,80.30260992272757
S2000,6,71.9866765563261
S2000,7,77.42677823579305
S2000,8,40.127415604702165
S2000,9,73.4943779266354
S2000,10,72.01013958383226
S2000,11,70.39461009221645
S2000,12,69.90136289599259
S2000,13,72.72683588557229
S2000,14,76.1807960174616
S2000,15,75.17300553333395
S2000,16,69.5292568491314
S2001,1,92.25653738836502
S2001,2,87.16080934509588
S2001,3,85.20923336134933
S2001,4,86.67109703514242
S2001,5,89.1013730060964
S2001,6,44.704930493078024
S2001,7,85.24481542184846
S2001,8,89.83922200985609
S2001,9,92.73009061344482
S2001,10,89.11693233108132
S2001,11,89.57808919663549
S2001,12,88.02419926510055
S2001,13,92.87975917673502
S2001,14,92.96171050458838
S2001,15,89.6828017742122
S2001,16,86.30735648810429
S2002,1,34.46253171203144
S2002,2,28.589987077979888
S2002,3,35.64946570145458
S2002,4,35.13989575256636
S2002,5,37.790419879979815
S2002,6,37.65286422040726
S2002,7,29.038186444693647
S2002,8,27.506315689016326
S2002,9,25.994727304062657
S2002,10,26.27011250566951
S2002,11,15.008636524900638
S2002,12,24.856937104682224
S2002,13,23.24799850178578
S2002,14,15.229466411069227
S2002,15,13.253951691755748
S2002,16,21.582238675892246
S2003,1,70.37562494820803
S2003,2,65.97020729674543
S2003,3,67.09995130132684
S2003,4,67.91021132826864
S2003,5,65.00062827445149
S2003,6,65.0142918267933
S2003,7,67.40807856330184
S2003,8,76.63398666908913
S2003,9,67.01336602310599
S2003,10,69.93486711938884
S2003,11,64.15180450335824
S2003,12,68.93327291790897
S2003,13,67.2671298745889
S2003,14,68.23317422586459
S2003,15,66.78639656298941
S2003,16,71.39086561210422
S2004,1,74.13696817711141
S2004,2,77.39236926500281
S2004,3,74.5703682991208
S2004,4,77.55380869210305
S2004,5,77.79580499310558
S2004,6,79.78940704708198
S2004,7,77.58872099342703
S2004,8,80.8028112767444
S2004,9,74.85595904033535
S2004,10,82.28093261998228
S2004,11,75.73423686419781
S2004,12,75.84026500024429
S2004,13,78.72687342932305
S2004,14,72.12239656200298
S2004,15,81.25520795612931
S2004,16,76.03035339054861
S2005,1,93.22601954428187
S2005,2,86.71015007132655
S2005,3,87.03860718284614
S2005,4,86.68775302175422
S2005,5,87.23933169891004
S2005,6,92.17800663600987
S2005,7,52.70862961739293
S2005,8,85.95772851757661
S2005,9,48.47062794972997
S2005,10,81.89495158653033
S2005,11,89.26192023824316
S2005,12,86.9981651100983
S2005,13,86.56792326525853
S2005,14,89.65963246170307
S2005,15,88.29559555232781
S2005,16,69.0029720120807
S2006,1,91.28239271413285
S2006,2,94.8769910097223
S2006,3,93.15990062013563
S2006,4,94.43186760119971
S2006,5,99.83450692775504
S2006,6,90.8447174755417
S2006,7,88.87887146705778
S2006,8,91.36145782314506
S2006,9,92.02914856736133
S2006,10,89.00033219657968
S2006,11,94.1701997217416
S2006,12,95.41878262486422
S2006,13,95.07881635328182
S2006,14,90.02242101854398
S2006,15,90.03841662455122
S2006,16,91.709287119573
S2007,1,67.06663069859206
S2007,2,68.22036934623362
S2007,3,77.60778204244376
S2007,4,73.64066862568438
S2007,5,69.13752366494033
S2007,6,68.305787826857
S2007,7,68.19505114224984
S2007,8,71.18706630091191
S2007,9,58.49620897078852
S2007,10,67.2714326487223
S2007,11,60.11353282067053
S2007,12,59.633990452549234
S2007,13,59.982429287728145
S2007,14,53.86707815239544
S2007,15,51.40221934474848
S2007,16,50.865765590530174
S2008,1,74.84134881932586
S2008,2,68.03125630120091
S2008,3,70.77498597128987
S2008,4,37.17826021050355
S2008,5,64.16721265709961
S2008,6,73.9653848381853
S2008,7,66.44093490845017
S2008,8,71.83097648628822
S2008,9,74.00709374244188
S2008,10,70.03400520093808
S2008,11,68.06091048175627
S2008,12,75.67119122745959
S2008,13,73.48627589401232
S2008,14,69.69259663090256
S2008,15,70.19242975993826
S2008,16,73.55706249320896
S2009,1,56.326130699152046
S2009,2,92.35973154923296
S2009,3,97.01066116251098
S2009,4,93.83902265867555
S2009,5,92.32824367844965
S2009,6,99.11922830820937
S2009,7,92.58840358368721
S2009,8,85.77545084830766
S2009,9,92.61849055822871
S2009,10,94.37759112772055
S2009,11,100.0
S2009,12,99.62106600765487
S2009,13,92.69446730584188
S2009,14,99.5513611010855
S2009,15,96.99640623035411
S2009,16,98.77432050487943
S2010,1,91.83968190277616
S2010,2,95.71179006575535
S2010,3,92.34480849762562
S2010,4,92.42433535895243
S2010,5,90.45371627076278
S2010,6,93.64615316469714
S2010,7,93.21191440503335
S2010,8,89.1695646803897
S2010,9,90.83048938404251
S2010,10,93.20727147396671
S2010,11,91.83240510122
S2010,12,71.18656466775488
S2010,13,98.06796379787838
S2010,14,89.18958802484514
S2010,15,96.86059813842532
S2010,16,85.57689193699117
S2011,1,85.6974847052069
S2011,2,81.20952517981374
S2011,3,87.1370525186576
S2011,4,79.41144357883316
S2011,5,78.53310159493557
S2011,6,79.3566434268232
S2011,7,87.2271269046475
S2011,8,78.60489925445121
S2011,9,82.52462065135055
S2011,10,66.39683650999078
S2011,11,85.20450170591526
S2011,12,81.03357429967915
S2011,13,81.57034551062085
S2011,14,80.81415255747126
S2011,15,84.16956851884163
S2011,16,78.64396271611126
S2012,1,39.75676280978757
S2012,2,41.613055265096904
S2012,3,39.06649430783508
S2012,4,39.92205270376864
S2012,5,33.87647458832489
S2012,6,23.605875895146895
S2012,7,37.33641071681795
S2012,8,35.75556844914705
S2012,9,35.31900375935189
S2012,10,36.26783202123175
